id,title,dating.year,dating.yearEarly,dating.yearLate,objectTypes.0,principalMakers.0.name,principalMakers.1.name,principalMakers.2.name,principalMakers.3.name,productionPlaces.0,description,webImage.url,classification.places.0,classification.places.1,classification.places.2,classification.places.3,classification.places.5,classification.places.6,classification.places.7,classification.places.8
"en-RP-P-1911-3322","Portret van Artus Quellinus",1655,1655,1668,"prent","Hubert Quellinus",,,,,"Portret van de Antwerpse beeldhouwer Artus Quellinus in een rijke ornamentale omlijsting. Quellinus maakte onder andere de decoraties van het Stadhuis op de Dam, te Amsterdam.","http://lh4.ggpht.com/AI6ZyppZjVSSEI9dptjqnPdAjzc1PYh_vAUgVN2s2wTF9LNyZKpAGEQ-IfwrXVZSEuJ7b3F9Zgwuh8uKsGNXAEKFWQZq=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-RP-P-1911-3323","Allegorie op de voorspoed van Amsterdam",1655,1655,1668,"prent","Hubert Quellinus",,,,,"De Amsterdamse Stedenmaagd, met op het hoofd een stedenkroon, zit op een troon en wordt geflankeerd door leeuwen, Hercules en Pallas Athena. De Stedenmaagd, met op haar borst de drie Amsterdamse kruizen en boven het hoofd een adelaar met kroon, houdt symbolen voor vrede en voorspoed in de handen; een palmtak en een olijftak. Hercules vertegenwoordigt kracht en Pallas Athena wijsheid. Om het drietal heen zweven kinderen die diverse attributen bij zich hebben die de voorspoed van de stad representeren, zoals de hoorn des overvloeds, een mercuriusstaf en een roer. De prent is gemaakt naar een beeldengroep boven de oostelijke toegang van de Burgerzaal van het Stadhuis op de Dam te Amsterdam.","http://lh3.ggpht.com/biEy71rF8E9iKz2Zp46DO8neIenMDG0c0_ULOx1Ogk4hodM0KqVrDQQYo2gBwLUOdKmNBKqipn_iVHDL3IfpkAl94L-O=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-RP-P-1911-3325","Kariatiden uit de Vierschaar",1655,1655,1668,"prent","Hubert Quellinus",,,,,"Twee Kariatiden (uit een groep van vier), naar sculpturen uit de Vierschaar in het Stadhuis op de Dam te Amsterdam. Ze staan symbool voor schuld en berouw. De Vierschaar was een openbaar gerechtshof dat door schout en schepenen enkel werd gebruikt voor het uitspreken van doodvonnissen.","http://lh3.ggpht.com/BvqmWVEEj9If2K3-uEy47OH7v195NQ9-2HeauhbRoR_4IL1qB3LaN1lnWGRp1WBfTuoTaVPA5oRDw4kclLt1K4qHQg=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-RP-P-1911-3326","Twee Kariatiden uit de Vierschaar",1655,1655,1668,"prent","Hubert Quellinus",,,,,"Twee Kariatiden (uit een groep van vier), naar sculpturen uit de Vierschaar in het Stadhuis op de Dam te Amsterdam. Ze staan symbool voor schuld en berouw. De Vierschaar was een openbaar gerechtshof dat door schout en schepenen enkel werd gebruikt voor het uitspreken van doodvonnissen.","http://lh4.ggpht.com/8ssLgCcWJrF_EalFW9LrwTMxgCkpCVsFFY9uprZch2TPcQIZKP-aNtbQG_TBrT726Ovjk3YihwHKTT3w8Cdy6xSyyzw=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-RP-P-1911-3328","Twee Kariatiden uit de Vierschaar",1655,1655,1668,"prent","Hubert Quellinus",,,,,"Twee Kariatiden (uit een groep van vier), naar sculpturen uit de Vierschaar in het Stadhuis op de Dam te Amsterdam. Ze staan symbool voor schuld en berouw. De Vierschaar was een openbaar gerechtshof dat door schout en schepenen enkel werd gebruikt voor het uitspreken van doodvonnissen.","http://lh4.ggpht.com/XqpB97N-D6FWbd3AKKyQfhWtN8u-DRe4JUnBl9evC9251Z334TUqHGgvOfrKZjyFQ50O39MiS6S-An9jG1shNEjmtA=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-RP-P-1911-3329","Venster met hanen en de hoorn des overvloeds",1655,1655,1668,"prent","Hubert Quellinus",,,,,"Rond venster, gedecoreerd met twee omgekeerde hoornen des overvloeds, twee hanen en twee kinderen, naar een decoratie uit het Stadhuis op de Dam te Amsterdam. Het venster hoort bij een beeld van Apollo.","http://lh5.ggpht.com/jrqLm-g0PEfVcp6xXhPmBTGT_t9gFGW3WZWCXOZhsxYYqGPspXlLDuEMFkIUGFVcnOXHI_DR53LsqVN1Sf0AAYa77Nc=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-RP-P-1911-3330","Venster met leeuwen en kinderen",1655,1655,1668,"prent","Hubert Quellinus","Artus Quellinus",,,,"Rond venster, gedecoreerd met leeuwen, vruchten en twee kinderen, naar een decoratie uit het Stadhuis op de Dam te Amsterdam. Het venster hoort bij een beeld van Cybele - godin van de aarde - dat bij de ingang van de Weeskamer is gepositioneerd.","http://lh3.ggpht.com/L2E7fjkssG1CVP3qRz-y07MD0r7uLC3N-UioCe9p7Gaqi8s6aR7FjRPiOuvWF9ibCajKMEGmtwnXBT8R6JRlak_jcA=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-RP-P-1911-3331","Gedecoreerd venster met vissen",1655,1655,1668,"prent","Hubert Quellinus",,,,,"Rond venster, gedecoreerd met twee omgekeerde hoornen des overvloeds, twee grote vissen en twee putti, naar een decoratie uit het Stadhuis op de Dam te Amsterdam. Het venster hoort bij een beeld van Diana dat naast de Oud Raadszaal staat.","http://lh3.ggpht.com/o9pxsLd4oI4qtT1vVvVYjzJ97JdxyF2VHplP8ukfsv95hr3WpPgyo8UKELLGTeG8S4RMQF8AIww1VE3EalQcsuayvRk=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-RP-P-1911-3332","Venster met adelaars en slangen",1655,1655,1668,"prent","Hubert Quellinus",,,,,"Rond venster, gedecoreerd met adelaars, slangen, bliksemschichten en twee kinderen, naar een decoratie uit het Stadhuis op de Dam te Amsterdam. Het venster hoort bij een beeld van Jupiter.","http://lh5.ggpht.com/Go9SordJBsJs9AK7Kxeoo7-JXWTMoB4cYMo3v9212LcA8M1XzrH45-dSgclgOcu5Zb4FfxUCVT1hWbjjbKG7fCKpEg=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-RP-P-1911-3334","Venster met kinderen en leeuwen",1655,1655,1668,"prent","Hubert Quellinus","Artus Quellinus",,,,"Rond venster, gedecoreerd met leeuwen, vruchten en twee kinderen, naar een decoratie uit het Stadhuis op de Dam te Amsterdam. Het venster hoort bij een beeld van Cybele - godin van de aarde - dat bij de ingang van de Weeskamer is gepositioneerd.","http://lh6.ggpht.com/-sN8rzzjYIn5w2Hp_CIzm33BFsPserbU6Q5NE3AJNJfMLbFXLT3gtz0eem0-kw51R--WuRvIDZJch87l5NLAfDmOp4e4=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-RP-P-1911-3335","Venster met vissen",1655,1655,1668,"prent","Hubert Quellinus",,,,,"Rond venster, gedecoreerd met twee omgekeerde hoornen des overvloeds, twee grote vissen en twee putti, naar een decoratie uit het Stadhuis op de Dam te Amsterdam. Het venster hoort bij een beeld van Diana dat naast de Oud Raadszaal staat.","http://lh3.ggpht.com/iJDCLqoFJDsy5RRmLAIrDaOwobk36KsM4Qf6uDHuOVCMJXZLLlgh6t3Pmy6R9VI6R6P2avAGDz2dUDVffPAYSek5LRM=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-RP-P-1911-3336","Venster met wapens en wolven",1655,1655,1668,"prent","Hubert Quellinus",,,,,"Rond venster, gedecoreerd met wapens, wolven, dode kinderen en twee huilende kinderen, naar een decoratie uit het Stadhuis op de Dam te Amsterdam. Het venster hoort bij een beeld van Mars dat bij de ingang van de Krijgsraad is gepositioneerd.","http://lh5.ggpht.com/hx7k1XCcIYWkTNaWw1GcWnW5vrXMhWm_1KL_e2YffkA2u01UnscgojyWsJMw1ZD8CswSQOe1HeS9TshxNxFBBMWvygY=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-RP-P-1911-3337","Venster met wolven",1655,1655,1668,"prent","Hubert Quellinus",,,,,"Rond venster, gedecoreerd met wapens, wolven, dode kinderen en twee huilende kinderen, naar een decoratie uit het Stadhuis op de Dam te Amsterdam. Het venster hoort bij een beeld van Mars dat bij de ingang van de Krijgsraad is gepositioneerd.",,"Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-RP-P-1911-3342","Gallerij in de Burgerzaal van het stadhuis op de Dam te Amsterdam",1648,1648,1661,"prent","Dancker Danckerts","Cornelis Danckerts (I)","Jacob Vennekool","Jacob van Campen","Amsterdam","Gallerij in de Burgerzaal van het stadhuis op de Dam te Amsterdam, op het noorden gezien. In de gallerij lopen figuren. Een meetlat geeft op basis van voeten de schaal weer. In handgeschreven tekst is de titel vertaald in het Frans.","http://lh3.ggpht.com/xet2iBEr9ij8sueKNtqmZxVUdr236m01jpJUpnued6ki-MWPHISGyFTXN4GB0qRvbfW-dEpIen2f0aRZi99SmFJdi3o=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-RP-P-1911-3343","Wand met decoratie van interieur van Krijgsraadzaal in het stadhuis op de Dam van Amsterdam",1648,1648,1661,"prent","Dancker Danckerts","Cornelis Danckerts (I)","Jacob Vennekool","Jacob van Campen","Amsterdam","Wand met decoratie van interieur van de Krijgsraadzaal, gelegen boven de Schepenkamer in het stadhuis op de Dam van Amsterdam. Onder de opstand is een meetlat op basis van voeten weergegeven. De titel is met de hand doorgehaald en vertaald in handgeschreven Franse tekst.","http://lh5.ggpht.com/DxcR_465ykSO_A5uWNHC2FdWWRoyj08x6AwnLVkLRLsAx_3kuDiQTu5zn6a9y6ugIXMzVKD_ww-NfP2dCW_f4x0RNd25=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-RP-P-1911-3344","Personificatie van Vuur",1655,1655,1668,"prent","Hubert Quellinus","Artus Quellinus",,,,"Personificatie van het element Vuur, naar een decoratie uit de Burgerzaal van het Stadhuis op de Dam te Amsterdam. Zij houdt een schaal vast waarin een feniks in vlammen opgaat.",,"Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-RP-P-1911-3347","Personificatie van Vuur",1655,1655,1668,"prent","Hubert Quellinus","Artus Quellinus",,,,"Personificatie van het element Vuur, naar een decoratie uit de Burgerzaal van het Stadhuis op de Dam te Amsterdam. Zij houdt een schaal vast waarin een feniks in vlammen opgaat.",,"Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-RP-P-1911-3348","Personificatie van Lucht",1655,1655,1668,"prent","Hubert Quellinus","Artus Quellinus",,,,"Personificatie van het element Lucht, naar een decoratie uit de Burgerzaal van het Stadhuis op de Dam te Amsterdam. Zij heeft een wolk in de handen en een sterrenkroon op het hoofd. Bij de voeten een adelaar.","http://lh3.ggpht.com/VyNJf0M2RI-Wh7KTw51KgObxcrOlnvtEQFnowPQJ2Sh0B2_5y0CtCZ8AFa6udIViGBaNkOKXebiF2_sC1-6iEcR0QsA=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-RP-P-1911-3349","Personificatie van het element Vuur",1655,1655,1668,"prent","Hubert Quellinus","Artus Quellinus",,,,"Personificatie van Vuur, naar een decoratie uit de Burgerzaal van het Stadhuis op de Dam te Amsterdam. Hij houdt een brandende toorts vast en een bundel pijlen. Onder de personificatie een salamander.","http://lh4.ggpht.com/Y7-xS4heWh196QUarhNoc5e1RsrjSBgnboqsc_mTR1AcHDepqlc-WNiE8LQA9LFb94w5XQkOkO4Z3BkN4VPa8pYT8zI=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-RP-P-1911-3350","Personificatie van Lucht",1655,1655,1668,"prent","Hubert Quellinus","Artus Quellinus",,,,"Personificatie van het element Lucht, naar een decoratie uit de Burgerzaal van het Stadhuis op de Dam te Amsterdam. Zij heeft een wolk in de handen en een sterrenkroon op het hoofd. Bij de voeten een adelaar.","http://lh5.ggpht.com/6d6_V4OnlHSVxcnAqVx8oQrAbcqGPXrLWBdmWcMjefo1_Qa95FGnN0HF0HaiLuewplybFPw9s7HJgmEOMbHfZ4bZ29U=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-RP-P-1911-3351","Personificatie van het element Vuur",1655,1655,1668,"prent","Hubert Quellinus","Artus Quellinus",,,,"Personificatie van Vuur, naar een decoratie uit de Burgerzaal van het Stadhuis op de Dam te Amsterdam. Hij houdt een brandende toorts vast en een bundel pijlen. Onder de personificatie een salamander.","http://lh5.ggpht.com/NUw3OJsToYItJ6CA9oq2erqaGE-gllE3e75XgcNHTJlJryoZsCsOVuLVyMKB8xoXtdT6HToEMncWyz_3xNoUvbkmDw=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-RP-P-1911-3354","Personificatie van Water",1655,1655,1668,"prent","Hubert Quellinus","Artus Quellinus",,,,"Personificatie van het element Water, naar een decoratie uit de Burgerzaal van het Stadhuis op de Dam te Amsterdam. Zij heeft vissen aan de voeten en een schip op de schouders. Ze heeft een kroon van schelpen op het hoofd en naast haar liggen een roer en een riem.","http://lh4.ggpht.com/mRDxWBylWkwZkUbSwAoBXxp6ggxF7IqewMlZjiUz0uhx2WdXOxp5ErQNzR-CS1OBxb_LXdq55HjxgQUMshiRI_uK_h7_=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-RP-P-1911-3355","Personificatie van het element Aarde",1655,1655,1668,"prent","Hubert Quellinus","Artus Quellinus",,,,"Personificatie van het element Aarde, naar een decoratie uit de Burgerzaal van het Stadhuis op de Dam te Amsterdam. Zij draagt een kroon met de gebouwen van de aarde op haar hoofd en een kind in haar armen. Zij wordt omringt door verschillende dieren.","http://lh6.ggpht.com/yMoEw35WH5tSHFUPesFhKVTDdDAMjBIYpBxOe2QbO11GJEj2q3y7kh7Hf-XhVrEijFBJioAuHpOSap4mIlQx7vSHk9Bh=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-RP-P-1911-3356","Personificatie van het element Lucht",1655,1655,1668,"prent","Hubert Quellinus","Artus Quellinus",,,,"Personificatie van Lucht, naar een decoratie uit de Burgerzaal van het Stadhuis op de Dam te Amsterdam. Zij is verbeeld als Juno met een pauw onder de arm en een kameleon. De kameleon symboliseert Lucht, omdat het dier zich volgens Plinius voedde met dit element en niet at of dronk (Historia naturalis 8:33).","http://lh4.ggpht.com/eBUlz5cIt5lNqZ9oXnOvSbirkDt509B7sIZAHcIaJGQqMwGjm-W-t1_INZa-whjja4nTnRUFiBLXu6-VMqwjtgCrPc4=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-RP-P-1911-3358","Personificatie van het element Water",1655,1655,1668,"prent","Hubert Quellinus","Artus Quellinus",,,,"Personificatie van het element Water, naar een decoratie uit de Burgerzaal van het Stadhuis op de Dam te Amsterdam. Zij heeft een vissenstaart en in haar hand een bol waar druppels uit sproeien. Op haar schoot een kruik waar water uit stroomt.","http://lh6.ggpht.com/IKfw3hA2UTUmKmLG_Xs9qGL2FxBBVqqqClkr_WeKhE22gcs80fDQew9bAM4uxW50Fne-FMPmp7pVFyimsVYeEeWSpA=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-RP-P-1911-3359","Personificatie van het element Lucht",1655,1655,1668,"prent","Hubert Quellinus","Artus Quellinus",,,,"Personificatie van Lucht, naar een decoratie uit de Burgerzaal van het Stadhuis op de Dam te Amsterdam. Zij is verbeeld als Juno met een pauw onder de arm en een kameleon. De kameleon symboliseert Lucht, omdat het dier zich volgens Plinius voedde met dit element en niet at of dronk (Historia naturalis 8:33).","http://lh3.ggpht.com/chz_hqOSawIm_OTa_vXLgfnLRCPbKz4hYXfDGxGXWvgtQyLnwBNdupAu0NDnRguphBgsft0_txMa0rSE8BQE5nMlsA=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-RP-P-1911-3360","Doorsnede van voorgevel van stadhuis op de Dam van Amsterdam",1648,1648,1661,"prent","Dancker Danckerts","Cornelis Danckerts (I)","Jacob Vennekool","Jacob van Campen","Amsterdam","Doorsnede van voorgevel van stadhuis op de Dam van Amsterdam waarbij een blik wordt gegund in de ruimten achter de gevel. Letters corresponderen met een verklarende lijst van de functies van de verschillende ruimten. Onder de titel staat een meetlat op basi van voeten. In handgeschreven Franse tekst is de titel vertaald.","http://lh6.ggpht.com/bdI0B9sRvZxttm-BgT7FZjlCyEjjYVr0fP07Dl8uCcvgb1BPXhkdNa4LYR-1QywGcFsllbsspkiwQl_kovmXgU6eaIU=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-RP-P-1911-3380","Allegorie op de Gerechtigheid",1655,1655,1668,"prent","Hubert Quellinus","Artus Quellinus",,,,"Gerechtigheid zegeviert over Hebzucht en Nijd. De personificatie van Gerechtigheid zit op een troon en wordt geflankeerd door de Dood, met een lege zandloper, en de Straf, met een knieverbrijzelaar. Gerechtigheid heeft een zwaard, om te straffen, en een weegschaal, en zetelt bovenop de rug van koning Midas, die hebzucht representeert en de Nijd. De prent is gemaakt naar een beeldengroep boven de westelijke toegang van de Burgerzaal van het Stadhuis op de Dam te Amsterdam.","http://lh5.ggpht.com/WBVHW7C8HqSe7TaLOn_Yr7xcr-Qc0ciqC8DfrtecFMcNYUEdaFWiHQ5IZH4jio361jLnPbjgwoUCRnuEfhmenYOkzQdB=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-RP-P-1911-3385","Val van Icarus",1655,1655,1668,"prent","Hubert Quellinus","Artus Quellinus",,,,"Icarus valt in de Egeïsche Zee. Ondanks de waarschuwingen van zijn vader Daedalus (de gevleugelde man rechts) vloog Icarus te dicht bij de zon, waardoor de was van zijn vleugels smolt en hij hoogmoedig ten val kwam. De prent is gemaakt naar de decoratie boven de toegang van de Desolate Boedelkamer in het Stadhuis op de Dam te Amsterdam.","http://lh4.ggpht.com/uyp7Yhb8lqyXn-sR0koMjqSx7pMw7p16M7oHOmK57yQvEWxdF9KO-4zyQq2p-5CPPZjw4rDHwHSFAeFLw3ykbur4O70=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-RP-P-1911-3386","Allegorie op de Stilzwijgendheid",1655,1655,1668,"prent","Hubert Quellinus",,,,,"Allegorie op de Stilzwijgendheid met een vis, een vrouw met een vinger op haar lippen en een gans met een steentje in de bek. De prent is gemaakt naar de decoratie boven de toegang van de Secretarie in het Stadhuis op de Dam te Amsterdam.","http://lh6.ggpht.com/Y8iIJD-toNMNaPksJqnGeKNFfE149eT8zwE0KLDuz8r_A0USdozhz85af6Zk9Bf521c9sPXLxUaYenvxXIogSSoESrk=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-RP-P-1911-3387","Personificatie van Gerechtigheid",1655,1655,1668,"prent","Hubert Quellinus","Artus Quellinus",,,,"Personificatie van Gerechtigheid, naar een beeld op het timpaan (aan de Damzijde) van het Stadhuis op de Dam te Amsterdam. Gerechtigheid, een van de vier kardinale deugden, heeft een weegschaal en een staf met een stralend oog in haar handen.",,"Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-RP-P-1911-3392","Atlas",1655,1655,1668,"prent","Hubert Quellinus","Artus Quellinus",,,,"Atlas naar een beeld op het timpaan (aan de zijde van de Nieuwezijds Voorburgwal) van het Stadhuis op de Dam te Amsterdam. Atlas is de drager van het hemelgewelf met daarin alle sterren, sterrenbeelden en planeten.","http://lh4.ggpht.com/Q24dclpJYYm7ZjsVOUtxOz9Pjw4aHYASY-B31U4h47ia8MEsexqQvdk6UBHmqnMQO2WvOtgOcF--zpkNbch8QTsKIFPE=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-RP-P-1911-3393","Amphion en Zethos bouwen het Amsterdamse stadhuis",1655,1655,1668,"prent","Hubert Quellinus","Artus Quellinus",,,,"De broers Amphion en Zethos bouwen het Amsterdamse stadhuis. Amphion brengt met zijn lierspel de door Zethos aangesleepte bouwstenen op elkaar. Dit symboliseert hoe harmonie, die de muziek voortbrengt, de groei van het gebouw bevordert. Harmonische verhoudingen waren, zo dacht men in navolging van Vitruvius, het fundament van muziek, maar ook van het universum, het menselijk lichaam en de ideale verhoudingen in een gebouw, zoals het Stadhuis op de Dam. De prent is gemaakt naar de decoratie boven de toegang van de Vroedschapkamer in het Stadhuis op de Dam te Amsterdam. In de Vroedschapkamer zetelde een college van bestuur - bestaande uit zesendertig bestuurders - dat door de burgemeesters bij belangrijke gelegenheden werd geraadpleegd.","http://lh6.ggpht.com/HBEtheaSqQ5vni-3JCyoLCKB7B1NOAJiBHpgaij2jEKWFq6PxGfe_TGZr-Zl6PmcF0BPNE_KbG9sIyrzyMHQZebnLWc=s0","Stadhuis op de Dam (Amsterdam)",,,,,,,
"en-RP-P-1911-3404","Kloveniersdoelen",1727,1727,1733,"prent","Abraham Rademaker","Willem Barents","Antoni Schoonenburg",,"Amsterdam","De Kloveniersdoelen te Amsterdam gezien vanuit de stadszijde naar de Klovenierstoren, in de situatie van omstreeks 1607. Op de achtergrond een deel van de Kloveniersburgwal.","http://lh4.ggpht.com/laPoPZ-9VWhW3WdiJBwu6xxiZiKs3IAVMP7RxDSIG77olDqIaVAvSGiFyz8NUEnRkHDbM440m9Gf7IbAwqsYP0wUVuQ=s0","Kloveniersdoelen (Amsterdam)",,,,,,,
"en-RP-P-1911-3405","Gezicht op de Doelentoren",1727,1727,1733,"prent","Abraham Rademaker","Willem Barents","Antoni Schoonenburg",,"Amsterdam","Gezicht op de Doelentoren, ter hoogte van Kloveniersburgwal nrs. 131-129, in de situatie van omstreeks 1607 in Amsterdam. Rechts tussen de Staalstraat en de Nieuwe Doelenstraat brug 222.","http://lh5.ggpht.com/UzhT_lBsTkEQypKxYuJSlIH9lhGjXkRLnlz3N5NIDGrYkaQqg_muk6lenf8XTKTMK9xo62KbY8a1LBX9UdA7toy3IS7I=s0","Kloveniersdoelen (Amsterdam)",,,,,,,
"en-RP-P-1911-3407","Leprozenhuis aan de rand van Amsterdam",1727,1727,1733,"prent","Abraham Rademaker","Willem Barents","Antoni Schoonenburg",,"Amsterdam","Gezicht op het ommuurde leprozenhuis aan de rand van Amsterdam (tegenwoordig Waterlooplein), in de situatie van omstreeks 1608. Op de voorgrond een spelend kind en een hondje.","http://lh3.ggpht.com/aPnpeF8WcievyqxsGZzB1b2mxrvZssbh2qichYL3cKsNCEezMyXFKVXs-Kof-yMy96NdQqvVfwp4ASYSplZx0hAwSQzO=s0","Leprozenhuis (Amsterdam)",,,,,,,
"en-RP-P-1911-3408","Nieuwe Kerk te Amsterdam",1727,1727,1733,"prent","Abraham Rademaker","Willem Barents","Antoni Schoonenburg",,"Amsterdam","Interieur van de Nieuwe Kerk na de brand van 1645.","http://lh6.ggpht.com/weTxzfyaE_XSQpOVnkzj27H7hqZ_syBXZfNeup0ZP24InA_S6JzIUNa6QM6f0cIe9NfO5OI_i57Mh5COW35OO0mXJNA=s0","Nieuwe Kerk (Amsterdam)",,,,,,,
"en-RP-P-1911-3409","Oude Stadhuis van Amsterdam",1727,1727,1733,"prent","Abraham Rademaker","Willem Barents","Antoni Schoonenburg",,"Amsterdam","Gezicht op de zuidwestzijde van de Dam, met in het midden het Oude Stadhuis, in de situatie van omstreeks 1640. Links drie huizen aan de Dam en rechts daarvan de Kalverstraat","http://lh4.ggpht.com/XBjyWQeFP7F249eFw16jX-XUhYl-KMf1Uk9IFpE61iN-kf6_NGem58Oy3w1gkLuKotXtQf79tvjfS-lYQrNc1ui4ag=s0","Oude Stadhuis (Amsterdam)",,,,,,,
"en-RP-P-1911-3410","Ruïne van het Oude Stadhuis van Amsterdam",1727,1727,1733,"prent","Abraham Rademaker","Willem Barents","Antoni Schoonenburg",,"Amsterdam","Gezicht op de ruïne van het Oude Stadhuis van Amsterdam na de brand van 7 juli 1652.","http://lh6.ggpht.com/9nRm2t7R7v6hQB8RQ-2qdDDnI5aerzJpmXCKZXT7q4nDF3ynbJIPAhSn7EjsEcUjrHJw9vGpOWW92wPAGq5jVmNvMKY=s0","Oude Stadhuis (Amsterdam)",,,,,,,
"en-RP-P-1911-3411","Westermarkt met de Westerkerk",1727,1727,1733,"prent","Abraham Rademaker","Willem Barents","Antoni Schoonenburg",,"Amsterdam","Gezicht over de Keizersgracht naar de Westermarkt met de Vleeshal (later de Westerhal) en de Westerkerk, in de situatie van omstreeks 1650.","http://lh4.ggpht.com/oChbhen-9hifRRLLyZwRYu8bxz_dpmc4YwtpzYlHshokBO_Z3AUVNuSx1f4fnfjpu-dLstVJ9u-o5eDktMNfEnbhvA=s0","Westerkerk (Amsterdam)","Westermarkt (Amsterdam)","Keizersgracht (Amsterdam)",,,,,
"en-RP-P-1911-3412","Prins Hendrikkade",1727,1727,1733,"prent","Abraham Rademaker","Willem Barents","Antoni Schoonenburg",,"Amsterdam","Gezicht op de Prins Hendrikkade (Nieuwe Brug) te Amsterdam, met links het IJ en het Paalhuis. Rechts vooraan Prins Hendrikkade nummer 47 A en de zijgevel van Damrak nummer 1.","http://lh5.ggpht.com/BjtzzbQ8B32pLIhjWjmxy12gw0QpDkZ8Uo0XPbiWWH4Qkld-OqFxD2wy9v4-23BLOE26YA8buakWdzudYUrlGEVgdfE=s0","Prins Hendrikkade (Amsterdam)","IJ",,,,,,
"en-RP-P-1911-3414","Gezicht op de Waalseilandsgracht",1727,1727,1733,"prent","Abraham Rademaker","Willem Barents","Antoni Schoonenburg",,"Amsterdam","Gezicht op de ingang van de Waalseilandsgracht te Amsterdam, gezien vanaf het IJ met rechts het Kamperhoofd.","http://lh4.ggpht.com/SgxCySoDXlZBmeSJJ-tTIluugHSn4qzp58G4rTryuQvGDvJkKboWqBoNkdcO0Hr9vWTtN6oaVUK7pylEdOimYsHcAnM=s0","Waalseilandgracht (Amsterdam)",,,,,,,
"en-RP-P-1911-3446","Grote en de Kleine Vleeshal met de Vismarkt",1675,1675,1711,"prent","Pieter Schenk (I)","onbekend",,,,"Gezicht op de Grote en de Kleine Vleeshal met de Vismarkt. Links van de Grote of Sint Pietershal is de ingang van de Sint Pieterspoortsteeg te zien.",,"Vleeshal (Amsterdam)",,,,,,,
"en-RP-P-1911-3448","Binnen-Amstel met de Halvemaansbrug",1675,1675,1711,"prent","Pieter Schenk (I)","onbekend",,,,"Gezicht op de Binnen-Amstel, gezien vanaf de Blauwbrug naar de Halvemaansbrug. Links brouwerij de drie Roskammen.",,"Halvemaansbrug (Amsterdam)","Binnen-Amstel (Amsterdam)",,,,,,
"en-RP-P-1911-3449","Weesper Poort",1675,1675,1711,"prent","Pieter Schenk (I)","onbekend",,,,"Gezicht op de Weesper Poort, gelegen aan het Singel te Amsterdam.",,"Weesperpoort (Amsterdam)",,,,,,,
"en-RP-P-1911-3450","Gezicht op de Oudeschans met de Montelbaanstoren",1675,1675,1711,"prent","Pieter Schenk (I)","onbekend",,,,"Gezicht op de Oudeschans, met op de voorgrond de Kikkerbilsluis en daarachter de Montelbaanstoren. Links het West-Indisch Pakhuis en rechts de Kalkmarkt en een stukje van de Prins Hendrikkade.",,"Montelbaanstoren (Amsterdam)","Oudeschans",,,,,,
"en-RP-P-1911-3451","'s Lands Zeemagazijn en de Admiraliteitswerf",1675,1675,1711,"prent","Pieter Schenk (I)","onbekend",,,,"Gezicht op 's Lands Zeemagazijn en de Admiraliteitswerf op Kattenburg, gezien over de IJgracht.",,"'s Lands Zeemagazijn (Amsterdam)","Admiraliteitswerf (Amsterdam)",,,,,,
"en-RP-P-1911-3452","Gezicht op 's Lands Zeemagazijn en de Oosterkerk vanaf het IJ te Amsterdam",1675,1675,1711,"prent","Pieter Schenk (I)","onbekend",,,,,,"Oosterkerk (Amsterdam)","'s Lands Zeemagazijn (Amsterdam)",,,,,,
